N = 1, Delay = 132.12584678542154
N = 2, Delay = 36.15278421587542
N = 4, Delay = 14.124587594582653
N = 8, Delay = 4.85946875215896
N = 16, Delay = 4.35628459785142
N = 32, Delay = 2.64587989852145
N = 64, Delay = 18.32654784512458
N = 128, Delay = 68.26547847874152
N = 256, Delay = 108.32658457841259
N = 512, Delay = 124.12458745895231
N = 1024, Delay = 140.0217851878024


MSS = 100, Delay = 90.15428754859654
MSS = 200, Delay = 48.25415878458953
MSS = 300, Delay = 28.14578452658947
MSS = 400, Delay = 16.89784512564823
MSS = 500, Delay = 10.52146857894513
MSS = 600, Delay = 8.12541548754126
MSS = 800, Delay = 6.15428598758452
MSS = 900, Delay = 6.09856874512455
MSS = 1000, Delay = 5.12458541278496


p = 0.01, Delay = 2.65874851259856
p = 0.02, Delay = 2.15478526985632
p = 0.03, Delay = 4.12548756251325
p = 0.04, Delay = 6.12548759862351
p = 0.05, Delay = 7.12489987552648
p = 0.06, Delay = 10.19785236487541
p = 0.07, Delay = 20.85978745856982
p = 0.08, Delay = 32.12458795689632
p = 0.09, Delay = 45.15874985623584
p = 0.10, Delay = 59.15897845265325
