N = 1, Delay = 92.15478526589564
N = 2, Delay = 50.25418457852658
N = 4, Delay = 25.12548759865985
N = 8, Delay = 16.32658784512549
N = 16, Delay = 7.52689458756235
N = 32, Delay = 3.12585645781245
N = 64, Delay = 2.12387548788865
N = 128, Delay = 1.86598254125687
N = 256, Delay = 0.35246895214745
N = 512, Delay = 0.23658457412458
N = 1024, Delay = 0.25625348758965

MSS = 100, Delay = 9.12487584858596
MSS = 200, Delay = 5.35628457841548
MSS = 300, Delay = 4.3464251085999424
MSS = 400, Delay = 2.25298658945781
MSS = 500, Delay = 2.39587485481254
MSS = 600, Delay = 2.64875218598635
MSS = 700, Delay = 1.15478457845215
MSS = 800, Delay = 0.97845678512453
MSS = 900, Delay = 0.66587485124585
MSS = 1000, Delay = 0.6645875118987

p = 0.01, Delay = 2.15025485302518
p = 0.02, Delay = 2.02514587963152
p = 0.03, Delay = 2.15027410251045
p = 0.04, Delay = 2.52684102102547
p = 0.05, Delay = 3.64875239415852
p = 0.06, Delay = 6.32095098495483
p = 0.07, Delay = 6.15204150268412
p = 0.08, Delay = 8.05482106598563
p = 0.09, Delay = 18.98520415706892
p = 0.10, Delay = 25.45068012907854
